uuid,issue,change_type,indicator,old_value,new_value,spotted_by,edit
ID-38,wrong amount,recoding,funding_amount,15000,45000,AG,TRUE
ID-42,wrong amount,recoding,funding_amount,100000,15000,AG,TRUE
ID-54,wrong amount,recoding,funding_amount,5500,550000,AG,TRUE
ID-58,wrong amount,recoding,funding_amount,680000,432259,AG,TRUE
ID-59,wrong amount,recoding,funding_amount,400000,405000,AG,TRUE
ID-75,wrong amount,recoding,funding_amount,117000,282000,AG,TRUE
ID-76,wrong amount,recoding,funding_amount,118000,180000,AG,TRUE
ID-6,agency name needs recoding,recoding,name_agency,CARE International  Uganda,CARE International ,AG,TRUE
ID-47,agency name needs recoding,recoding,name_agency,Danish Refugee Council,Danish Refugee Council (DRC),AG,TRUE
ID-48,agency name needs recoding,recoding,name_agency,Danish Refugee Council,Danish Refugee Council (DRC),AG,TRUE
ID-49,agency name needs recoding,recoding,name_agency,Danish Refugee Council,Danish Refugee Council (DRC),AG,TRUE
ID-50,agency name needs recoding,recoding,name_agency,Danish Refugee Council,Danish Refugee Council (DRC),AG,TRUE
ID-51,agency name needs recoding,recoding,name_agency,Danish Refugee Council,Danish Refugee Council (DRC),AG,TRUE
ID-59,agency name needs recoding,recoding,name_agency,Conservation Through Public Health,Conservation Through Public Health (CTPH),AG,TRUE
ID-88,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-89,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-90,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-91,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-92,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-93,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-94,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-95,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-96,agency name needs recoding,recoding,name_agency,UNITED NATIONS POPULATION FUND(UNFPA),United Nations Population Fund (UNFPA),AG,TRUE
ID-164,agency name needs recoding,recoding,name_agency,CARE International in Uganda,CARE International ,AG,TRUE
ID-165,agency name needs recoding,recoding,name_agency,CARE International in Uganda,CARE International ,AG,TRUE
ID-129,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-130,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-131,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-132,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-133,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-134,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-135,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-136,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-137,agency name needs recoding,recoding,name_agency,International Rescue Committee,International Rescue Committee (IRC),AG,TRUE
ID-87,agency name needs recoding,recoding,name_agency,OXFAM NOVIB,Oxfam,AG,TRUE
