"","projects_uID","name_agency","project_title","donors","project_status","ongoing_ability","new_project_funding","funding_amount","pillars","projects_activities","other_activities","implimenting_partner","regions","districts"
"11","ID-20","Farm Radio International","Supporting African Broadcasters in their COVID-19 Service to Farmers","Canada, NA","new_project",NA,"no",5e+05,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, hygiene_promotion_sensitization, telecoms_call_center, other, personnel, Logistics, Human resource",NA,"MOH, MOH, MOH and local radio partners","acholi ankole bukedi bunyoro busoga elgon kampala karamoja kigezi lango northbuganda southbuganda teso toro westnile","lamwo omoro amuru kitgum gulu agago pader nwoya, ibanda sheema rubirizi ntungamo mbarara mitooma kiruhura buhweju bushenyi isingiro rwampara kazo, butebo busia budaka tororo butaleja pallisa kibuku, masindi kagadi kibaale kikuube buliisa kakumiro kiryandongo hoima, kamuli iganga namayingo luuka kaliro jinja buyende namutumba bugiri mayuge bugweri, kween bukwo kapchorwa bududa manafwa sironko mbale namisindwa bulambuli, kampala, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, rukungiri rubanda rukiga kanungu kisoro kabale, alebtong kole amolatar dokolo apac lira otuke oyam kwania, buikwe luwero nakasongola mubende buvuma kayunga kyankwanzi kiboga mukono nakaseke mityana kassanda, masaka kalangala wakiso bukomansimbi mpigi lwengo lyantonde ssembabule butambala kalungu kyotera gomba rakai, bukedea kaberamaido soroti serere amuria katakwi kumi ngora kapelebyong kalaki, kabarole bunyangabu kyegegwa kyenjojo kasese kamwenge ntoroko bundibugyo kitagwenda, maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi"
"12","ID-21","Dan Church Aid (DCA)","DCA Humanitarian Partnership","denmark, NA","ongoing_project","yes",NA,35135,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, supplies, Logistics, Human resource",NA,"Self implementation, Self implementation, Self implementation","westnile","yumbe arua"
"13","ID-22","Dan Church Aid (DCA)","Increased resilience of refugees and host communities in Arua and Lamwo District through a more effective and coordinated response during sudden emergencies.","eu, NA","ongoing_project","yes",NA,94276,"Coordination,Infection prevention,Surveillance,Case management,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none,  Logistics, Human resource",NA,"","acholi westnile, acholi","lamwo, arua madiokollo, lamwo, yumbe arua koboko madiokollo"
"14","ID-23","Dan Church Aid (DCA)","Emergency Response to COVID-19 Crisis in Refugee Settlement Areas of Bidibidi, Imvepi, Rhino, Lobule, and Kiryadongo","denmark, NA","new_project",NA,"yes",121950,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, supplies, Logistics, Human resource",NA,"•	The Inter Religious Council of Uganda (IRCU); Church of Uganda Teso Diocese Development Organization (TEDDO)","bunyoro kampala westnile, bunyoro kampala westnile, westnile","kiryandongo, kampala, yumbe arua koboko madiokollo, kiryandongo, arua koboko madiokollo"
"15","ID-24","WaterAid Uganda","Sustainable WASH project","H&M Foundation, NA","ongoing_project","yes",NA,1e+05,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization, other, none, cash, Logistics, Human resource","None","Kampala Capital City Authority","kampala","kampala"
"16","ID-25","Medical Teams International","Comprehensive Health Care for Refugee Hosting Districts","unhcr, NA","ongoing_project","yes",NA,2e+06,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, supplies personnel, Logistics, Human resource",NA,"","ankole bunyoro kigezi toro westnile, ankole bunyoro kigezi toro westnile","mbarara isingiro, kikuube hoima, kanungu kisoro, kyegegwa kamwenge ntoroko, adjumani moyo obongi, mbarara isingiro, kabale"
"17","ID-26","Food for the Hungry","COVID-19 Activities","internal_funding","ongoing_project","yes",NA,55000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, other, none, supplies, Logistics, Human resource",NA,"District task force and other district teams, District health teams, District teams, district health teams, District health teams, District health teams","acholi busoga lango, acholi busoga elgon lango westnile, acholi busoga lango westnile, elgon, acholi busoga","lamwo kitgum, namutumba, kole, lamwo kitgum, kween mbale, adjumani, kitgum, kween"
"18","ID-27","Street Child of Uganda","Prevent. Prepare. Protect - Supporting the world’s most vulnerable families during COVID-19","Street Child UK, NA","new_project",NA,"yes",12000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, other, mhpss_counsellors mhpss_services_supervisor_monitor, supplies, Logistics, Human resource","Provision of essential food and non-food items for those families who are suffering from lockdown","AWYAD, CHAU, YARID, Build Africa, AWYAD, CHAU, YARID, Build Africa, 2000, AWYA, CHAU, Build Africa, YARID, 2000","acholi bunyoro lango southbuganda teso toro, acholi bunyoro lango southbuganda teso toro","lamwo, kiryandongo, oyam, lyantonde, bukedea, kyegegwa, lamwo"
"19","ID-28","Korea Foundation for International Healthcare(KOFIH)","COVID19 Response on Emergency Medical Service","The Republic of Korea (South Korea), NA","new_project",NA,"yes",116000,"Coordination,Infection prevention,Surveillance,Case management,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none,  Logistics, Human resource","""Procurement of Consultancy for Development of COVID 19 Emergency Guidelines"".""Orientation of drivers and ambulance assistants in pre-hospital care response to COVID-19""""Procurement of Personal Portective Equipment for Emergency COVID-19  Response "", ""Training of Call and Dispatch Officers on Call Processing"", ""Equip the isolation unit in MasakaRRH"", ""COVID19 Test kit""","Ministry of Health (funding directly to the government), Masaka RRH, Ministry of Health, UVRI,KOFIH, Ministry of Health, Emergency Care Society, It is overlapping with above activities","southbuganda, kampala, kampala southbuganda","masaka, kampala, masaka bukomansimbi, masaka"
"20","ID-29","Street Business School","SMS Health Education","Private Foundations, NA","new_project",NA,"yes",55000,"Coordination,Infection prevention,Surveillance,Case management,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none,  Logistics, Human resource",NA,"","busoga kampala northbuganda southbuganda, busoga kampala northbuganda southbuganda","iganga, kampala, buikwe luwero kayunga mukono, wakiso mpigi, iganga, wakiso"
"21","ID-30","Tutapona","Covid-19 Activities only","Education Cannot Wait (ECW), internal_funding","new_project",NA,"yes",30070,"Coordination,Infection prevention,Surveillance,Case management,ICT innovations,Mental health,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, telemedicine_approach, other,  Logistics, Human resource",NA,"","ankole westnile, ankole westnile","isingiro, adjumani, isingiro"
"22","ID-31","Tutapona","Hero's Project Radio Program","Education Cannot Wait (ECW), internal_funding","new_project",NA,"yes",18199,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, personnel, Logistics, Human resource",NA,"","westnile","adjumani"
"23","ID-32","ZOA","Amudat Covid-19 response","internal_funding","new_project",NA,"yes",30000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization, other, none, supplies personnel, Logistics, Human resource","Provision of 360 liter fuel for district and subcounty task group;","","karamoja","amudat"
"24","ID-33","ZOA","Acholi Covid-19 response","internal_funding","new_project",NA,"yes",35000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure support_community_engagement_meetings, other, none, supplies personnel, Logistics, Human resource","Providing 2000 liter fuel for the corona district task force","","acholi","omoro nwoya"
"25","ID-34","ZOA","Education Covid-19 response West Nile","internal_funding","new_project",NA,"yes",73800,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure support_community_engagement_meetings, other, none, supplies personnel, Logistics, Human resource",NA,"","westnile","arua"
"26","ID-35","ZOA","Amudat Education Covid-19 Response","internal_funding","new_project",NA,"yes",6784,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, supplies, Logistics, Human resource",NA,"","karamoja","amudat"
"27","ID-36","Malteser International","Emergency Response project for the Coronavirus disease 2019 (COVID-19) pandemic in South West, Mid-West and Kampala Regions in Uganda.","germany, NA","new_project",NA,"yes",57592,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, other, supplies personnel, Logistics, Human resource",NA,"CAFOMI (Care and Assistance for Forced Migrants), CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI","bunyoro kampala kigezi toro, bunyoro kampala kigezi toro","kikuube, kampala, kanungu kisoro, ntoroko, kikuube, kanungu"
"28","ID-37","Malteser International","Emergency Medical Services Project","germany, NA","ongoing_project","yes",NA,486011,"Coordination,Infection prevention,Surveillance,Case management,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none,  Logistics, Human resource","Setting up of a COVID-19 Isolation Unit at Lubaga hospital.","AAPU, Lubaga Hospital and Naguru hospital, Lubaga Hospital, Naguru Hospital and Arua Regional Refferral","kampala, kampala westnile, kampala","kampala, kampala, arua"
"29","ID-38","Malteser International","Integrated Project for the improvement of Food & Nutrition Security and the provision of safe drinking water in underserved communities in the peri-urban areas of Wau and for the South Sudanese Refugees and their host communities in Northern Uganda.","germany, NA","ongoing_project","yes",NA,45000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure support_community_engagement_meetings, other, none,  Logistics, Human resource",NA,"","westnile, westnile","yumbe arua madiokollo, arua madiokollo"
"30","ID-39","Malteser International","AA Regional Emergency Response Project","germany, NA","ongoing_project","yes",NA,83545,"Coordination,Infection prevention,Surveillance,Case management,WASH,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization, other, none,  Logistics, Human resource",NA,"","westnile","arua madiokollo"
"31","ID-40","Finnish Mission Uganda / Fida International","Health Component","Ministry of Foreign Affairs - Finland, NA","ongoing_project","yes",NA,30000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure, other, mhpss_counsellors, cash, Logistics, Human resource","Education In Emergencies","Pentecostal Churches of Uganda together with us, Pentecostal Churches of Uganda with us, Pentecostal Churches of Uganda with us, Pentecostal churches of Uganda, Pentecostal churches of Uganda with us","bunyoro kampala teso westnile, bunyoro kampala teso westnile, bunyoro teso westnile, bunyoro teso, bunyoro kampala teso","masindi kakumiro hoima, kampala, amuria, yumbe nebbi, masindi hoima, yumbe, masindi buliisa kakumiro kiryandongo hoima, masindi kiryandongo hoima, soroti amuria"
"32","ID-41","Finnish Mission Uganda / Fida International","Education Component","Ministry of Foreign Affairs FinLand, NA","ongoing_project","yes",NA,15000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, other, mhpss_counsellors,  Logistics, Human resource","Provision of Learning Materials to vulnerable children","","westnile, westnile","yumbe, yumbe"
"33","ID-42","World Vision Uganda","COVID19 Actvities","internal_funding","ongoing_project","yes",NA,15000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, other, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials other, supplies personnel, Logistics, Human resource",NA,"","acholi bukedi bunyoro busoga elgon kampala karamoja lango northbuganda southbuganda teso toro westnile, acholi bukedi bunyoro busoga elgon kampala karamoja lango northbuganda southbuganda teso toro westnile, acholi bukedi bunyoro busoga elgon kampala karamoja lango northbuganda southbuganda teso toro, kampala","omoro gulu agago pader, busia tororo butaleja, kagadi kibaale buliisa hoima, bugiri mayuge, mbale, kampala, kaabong kotido abim karenga, kole oyam, buikwe kiboga, mpigi rakai, soroti amuria kapelebyong, kamwenge bundibugyo, yumbe adjumani arua moyo obongi, omoro agago pader, busia butaleja, mpigi butambala rakai, omoro gulu agago pader, kagadi kibaale kikuube buliisa hoima, kibaale kikuube buliisa hoima, kole otuke"
"34","ID-43","Doctors with Africa CUAMM","COVID-19 activities only","Italian Governemnt, Fondacion Assitance Internatinal (FAI), Italian Bank Foundations, NA","ongoing_project","yes",NA,35561,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure, strengthen_district_data, other, cash supplies personnel, Logistics, Human resource",NA,"","karamoja lango","moroto nakapiripirit napak amudat nabilatuk, oyam"
"35","ID-44","Doctors with Africa CUAMM","COVID-19 Activities only","Italian Government, Fondazione Assitance International (FAI), NA","ongoing_project","yes",NA,1063,"Coordination,Infection prevention,Surveillance,Case management,ICT innovations,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, strengthen_district_data, none,  Logistics, Human resource",NA,"","karamoja","moroto nakapiripirit napak amudat nabilatuk"
"36","ID-45","LifeNet International","Medical Training & Quality of Care Improvement","The Hilton Foundation, NA","ongoing_project","yes",NA,1e+05,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, other, supplies personnel, Logistics, Human resource",NA,"","busoga kampala northbuganda southbuganda, busoga kampala northbuganda southbuganda","iganga jinja mayuge, kampala, buikwe luwero nakasongola mubende mukono nakaseke mityana, masaka wakiso bukomansimbi mpigi lwengo ssembabule butambala rakai, iganga jinja mayuge, masaka wakiso bukomansimbi lwengo ssembabule butambala rakai, masaka wakiso bukomansimbi lwengo butambala rakai"
"37","ID-46","Broederlijk Delen","COVID-19 activities only","internal_funding","ongoing_project","yes",NA,5000,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, cash, Logistics, Human resource",NA,"FAPAD in Lira and Amolatar, KRC in Fort Portal / Kabarole","lango toro","amolatar lira, kabarole"
"38","ID-47","Danish Refugee Council (DRC)","UNHCR protection programming (refugee support)","unhcr, NA","ongoing_project","yes",NA,8e+05,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, hygiene_promotion_sensitization support_community_engagement_meetings, budget_tracking_activity_reporting e_meetings emergency_hotline, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies personnel, Logistics, Human resource",NA,"HADS in Lobule, HADS in Lobule","westnile, westnile","arua koboko, arua koboko"
"39","ID-48","Danish Refugee Council (DRC)","NURI","denmark, NA","ongoing_project","yes",NA,3e+05,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, cash supplies personnel, Logistics, Human resource","Cash for work for communities (small group of 5) and fuel support to district task force","","acholi westnile, acholi westnile, westnile","lamwo kitgum agago, pakwach zombo adjumani arua nebbi koboko moyo madiokollo, lamwo kitgum agago, pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo"
"40","ID-49","Danish Refugee Council (DRC)","DANIDA protection programming (refugee support)","denmark, NA","ongoing_project","yes",NA,20000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, other, none, supplies personnel, Logistics, Human resource",NA,"","westnile","arua"
"41","ID-50","Danish Refugee Council (DRC)","EUTF Support Programme to the Refugee Settlements and Host Communities in Northern Uganda (SPRS-NU)","eu, NA","ongoing_project","yes",NA,7e+05,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, cash supplies personnel, Logistics, Human resource","Direct materials support to district task force (fuel, transport","CEFORD and Save the children","westnile","yumbe adjumani"
"42","ID-51","Danish Refugee Council (DRC)","ECHO cash programming (refugee support)","eu, NA","ongoing_project","yes",NA,3e+06,"Coordination,Infection prevention,Surveillance,Case management,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none, cash supplies personnel, Logistics, Human resource","Unconditional cash support to cover basic non food needs to most vulnerable new arrivals refugees","","ankole toro","isingiro, kyegegwa"
"43","ID-52","Samaritan's Purse","COVID-19 activities only","internal_funding","ongoing_project","yes",NA,7000,"Coordination,Infection prevention,Surveillance,Case management,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, none,  Logistics, Human resource",NA,"","kampala","kampala"
"44","ID-53","Samaritan's Purse","COVID-19 Response","us, internal_funding","new_project",NA,"no",1500000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, other, none, supplies personnel, Logistics, Human resource",NA,"","kampala","kampala"
"45","ID-54","Womena Uganda","Menstrual health intervention in relation to Gender-based violence (GBV)","eu denmark, NA","new_project",NA,"no",550000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees other, other, none, supplies, Logistics, Human resource",NA,"","acholi bunyoro kampala westnile","gulu, hoima, kampala, adjumani"
"46","ID-55","Jesuit Regufee Service (JRS)","Kampala Project","us  Spain, NA","ongoing_project","yes",NA,70000,"Coordination,Infection prevention,Surveillance,Case management,Mental health,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, other, personnel, Logistics, Human resource",NA,"","kampala","kampala"
"47","ID-56","Jesuit Regufee Service (JRS)","Adjumani Project","ireland  Spain, NA","ongoing_project","yes",NA,80000,"Coordination,Infection prevention,Surveillance,Case management,Mental health,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, none, other,  Logistics, Human resource",NA,"","westnile","adjumani"
"48","ID-57","U-LEARN","COVID-19 Activities Only","uk, NA","ongoing_project","yes",NA,550,"Coordination,Infection prevention,Surveillance,Case management,ICT innovations,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, other, budget_tracking_activity_reporting software_dev other, none, personnel, Logistics, Human resource",NA,"","kampala","kampala"
"49","ID-58","Conservation Through Public Health","Training of park staff, porters, community volunteers and Village  Health  and Conservation Teams in containing COVID-19","International Gorilla Conservation Programme, Arcus Foundation, Solidaridad, internal_funding","new_project",NA,"yes",432259,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, none, supplies personnel, Logistics, Human resource","No other activities apart from training and provision of posters to prevent COVID spread among people and between people and gorillas","Uganda Wildlife Authority,  Bwindi Community Hospital, Uganda Wildlife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, Internatinal Gorilla Conservation Programme, Uganda Wildlife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, Uganda Wildlife Authority, Solidaridad, International Gorilla Conservation Programme, Max Planck Institute, Uganda Wildlife Authority","kigezi","rubanda kanungu kisoro"
"50","ID-59","Conservation Through Public Health (CTPH)","Preventing COVID-19 among people and between people and gorillas at Bwindi Impenetrable National Park, SW Uganda","International Gorilla Conservation Programme, Arcus Foundation, Solidaridad, NA","new_project",NA,"yes",405000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, none, supplies, Logistics, Human resource","Advocacy about the risk of SARS-COV2 leading to the COVID-19 disease spread between people and  animals","CTPH working with Uganda Wildlife Authority, Bwindi Community Hospital, CTPH working with Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, CTPH working with Solidaridad, Uganda Wildlife Authority, CTPH working with Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme","kigezi","rubanda kanungu kisoro"
"51","ID-60","ChildFund International","Community resilience against COVID-19 through WASH and social protection","ChildFund Korea, NA","new_project",NA,"no",247741,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics,Human resource","Coordination, Infection prevention, Surveillance, Case management, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, e_meetings, other, cash supplies, Logistics, Human resource",NA,"Mbale Area Federation of Communities(MAFOC); Busia Area Communities Federation(BUACOFE)","bukedi elgon, bukedi elgon","busia, bududa manafwa mbale, busia, busia budaka butaleja kibuku, sironko mbale bulambuli"
