projects_uID,name_agency,project_title,donors,project_status,ongoing_ability,new_project_funding,funding_amount,pillars,projects_activities,other_activities,implimenting_partner,regions,districts
ID-20,Farm Radio International,Supporting African Broadcasters in their COVID-19 Service to Farmers,Canada,new_project,NA,no,5.00E+05,"WASH,ICT innovations,Risk communications","none, none, none, none, hygiene_promotion_sensitization, telecoms_call_center, none, personnel, none, none",NA,"MOH, MOH, MOH and local radio partners",acholi ankole bukedi bunyoro busoga elgon kampala karamoja kigezi lango northbuganda southbuganda teso toro westnile,"lamwo omoro amuru kitgum gulu agago pader nwoya, ibanda sheema rubirizi ntungamo mbarara mitooma kiruhura buhweju bushenyi isingiro rwampara kazo, butebo busia budaka tororo butaleja pallisa kibuku, masindi kagadi kibaale kikuube buliisa kakumiro kiryandongo hoima, kamuli iganga namayingo luuka kaliro jinja buyende namutumba bugiri mayuge bugweri, kween bukwo kapchorwa bududa manafwa sironko mbale namisindwa bulambuli, kampala, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, rukungiri rubanda rukiga kanungu kisoro kabale, alebtong kole amolatar dokolo apac lira otuke oyam kwania, buikwe luwero nakasongola mubende buvuma kayunga kyankwanzi kiboga mukono nakaseke mityana kassanda, masaka kalangala wakiso bukomansimbi mpigi lwengo lyantonde ssembabule butambala kalungu kyotera gomba rakai, bukedea kaberamaido soroti serere amuria katakwi kumi ngora kapelebyong kalaki, kabarole bunyangabu kyegegwa kyenjojo kasese kamwenge ntoroko bundibugyo kitagwenda, maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi"
ID-21,Dan Church Aid (DCA),DCA Humanitarian Partnership,denmark,ongoing_project,yes,NA,35135,"Coordination,Risk communications,Logistics","national_task_force_district_task_force, none, none, none, none, none, none, supplies, procure_sanitizer procure_soap, none",NA,"Self implementation, Self implementation, Self implementation",westnile,yumbe arua
ID-22,Dan Church Aid (DCA),Increased resilience of refugees and host communities in Arua and Lamwo District through a more effective and coordinated response during sudden emergencies.,eu,ongoing_project,yes,NA,94276,Logistics,"none, none, none, none, none, none, none,  procure_ppe procure_uniform procure_thermometers offloading_transport purchase_megaphones_vht procure_sanitizer procure_bottles procure_soap chlorination procure_boots, none",NA,,"acholi westnile, acholi","lamwo, arua madiokollo, lamwo, yumbe arua koboko madiokollo"
ID-23,Dan Church Aid (DCA),"Emergency Response to COVID-19 Crisis in Refugee Settlement Areas of Bidibidi, Imvepi, Rhino, Lobule, and Kiryadongo",denmark,new_project,NA,yes,121950,"Coordination,Risk communications,Logistics","national_task_force_district_task_force, none, none, none, none, none, none, supplies, procure_ppe fuel purchase_megaphones_vht procure_sanitizer procure_soap, none",NA,The Inter Religious Council of Uganda (IRCU); Church of Uganda Teso Diocese Development Organization (TEDDO),"bunyoro kampala westnile, bunyoro kampala westnile, westnile","kiryandongo, kampala, yumbe arua koboko madiokollo, kiryandongo, arua koboko madiokollo"
ID-24,WaterAid Uganda,Sustainable WASH project,H&M Foundation,ongoing_project,yes,NA,1.00E+05,"Coordination,WASH,Risk communications","tech_support_lg moh_support_lg, none, none, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization, none, none, cash, none, none",NA,Kampala Capital City Authority,kampala,kampala
ID-25,Medical Teams International,Comprehensive Health Care for Refugee Hosting Districts,unhcr,ongoing_project,yes,NA,2.00E+06,"Coordination,Infection prevention,Surveillance,Case management,Risk communications","national_task_force_district_task_force tech_support_lg, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, distribute_tools orient_workers_surveillance, activate_ambulance food_assitance_isolation, none, none, none, supplies personnel, none, none",NA,,"ankole bunyoro kigezi toro westnile, ankole bunyoro kigezi toro westnile","mbarara isingiro, kikuube hoima, kanungu kisoro, kyegegwa kamwenge ntoroko, adjumani moyo obongi, mbarara isingiro, kabale"
ID-26,Food for the Hungry,COVID-19 Activities,Internal Funding,ongoing_project,yes,NA,55000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics,Human resources","national_task_force_district_task_force information_product tech_support_lg other, adapted_ipc_standard_operating_procedures procure_ipc, orient_workers_surveillance, food_assitance_isolation, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, none, supplies, procure_ppe purchase_megaphones_vht print_statutory_instrument procure_sanitizer handwashing_facility procure_soap wash_isolation_quarantine_centres sanitation_facilities wash_costs, facilitate_response_teams",NA,"District task force and other district teams, District health teams, District teams, district health teams, District health teams, District health teams","acholi busoga lango, acholi busoga elgon lango westnile, acholi busoga lango westnile, elgon, acholi busoga","lamwo kitgum, namutumba, kole, lamwo kitgum, kween mbale, adjumani, kitgum, kween"
ID-27,Street Child of Uganda,Prevent. Prepare. Protect - Supporting the world’s most vulnerable families during COVID-19,Street Child UK,new_project,NA,yes,12000,"Coordination,WASH,Mental health,Risk communications,Human resources","national_task_force_district_task_force orientation_surge deploy_national_rapid_response tech_support_lg, none, none, none, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, mhpss_counsellors mhpss_services_supervisor_monitor, supplies, none, recruitment_costs compensation_responders facilitate_response_teams",Provision of essential food and non-food items for those families who are suffering from lockdown,"AWYAD, CHAU, YARID, Build Africa, AWYAD, CHAU, YARID, Build Africa, AWYA, CHAU, Build Africa, YARID","acholi bunyoro lango southbuganda teso toro, acholi bunyoro lango southbuganda teso toro","lamwo, kiryandongo, oyam, lyantonde, bukedea, kyegegwa, lamwo"
ID-28,Korea Foundation for International Healthcare(KOFIH),COVID19 Response on Emergency Medical Service,The Republic of Korea (South Korea),new_project,NA,yes,116000,"Coordination,Infection prevention,Surveillance,Case management,Logistics","information_product simulation_exercises deploy_national_rapid_response other, surveillance_hospitals other, other, other, none, none, none,  procure_ppe procure_waste_management_supplies procure_thermometers, none","""Procurement of Consultancy for Development of COVID 19 Emergency Guidelines"".""Orientation of drivers and ambulance assistants in pre-hospital care response to COVID-19""""Procurement of Personal Portective Equipment for Emergency COVID-19  Response "", ""Training of Call and Dispatch Officers on Call Processing"", ""Equip the isolation unit in MasakaRRH"", ""COVID19 Test kit""","Ministry of Health (funding directly to the government), Masaka RRH, Ministry of Health, UVRI,KOFIH, Ministry of Health, Emergency Care Society, It is overlapping with above activities","southbuganda, kampala, kampala southbuganda","masaka, kampala, masaka bukomansimbi, masaka"
ID-29,Street Business School,SMS Health Education,Private Foundations,new_project,NA,yes,55000,"Coordination,Infection prevention","national_task_force_district_task_force simulation_exercises orientation_surge other, other, none, none, none, none, none,  none, none",NA,,"busoga kampala northbuganda southbuganda, busoga kampala northbuganda southbuganda","iganga, kampala, buikwe luwero kayunga mukono, wakiso mpigi, iganga, wakiso"
ID-30,Tutapona,Covid-19 Activities only,"Education Cannot Wait (ECW), Internal Funding",new_project,NA,yes,30070,"ICT innovations,Mental health","none, none, none, none, none, telemedicine_approach, other,  none, none",NA,,"ankole westnile, ankole westnile","isingiro, adjumani, isingiro"
ID-31,Tutapona,Hero's Project Radio Program,"Education Cannot Wait (ECW), Internal Funding",new_project,NA,yes,18199,Risk communications,"none, none, none, none, none, none, none, personnel, none, none",NA,,westnile,adjumani
ID-32,ZOA,Amudat Covid-19 response,Internal Funding,new_project,NA,yes,30000,"Infection prevention,WASH,Risk communications,Logistics","none, procure_ipc, none, none, procure_wash_infrastructure hygiene_promotion_sensitization, none, none, supplies personnel, procure_sanitizer procure_soap procure_watertanks, none",Provision of 360 liter fuel for district and subcounty task group;,,karamoja,amudat
ID-33,ZOA,Acholi Covid-19 response,Internal Funding,new_project,NA,yes,35000,"Infection prevention,WASH,Risk communications,Logistics","none, procure_ipc, none, none, procure_wash_infrastructure support_community_engagement_meetings, none, none, supplies personnel, procure_sanitizer procure_soap procure_watertanks, none",Providing 2000 liter fuel for the corona district task force,,acholi,omoro nwoya
ID-34,ZOA,Education Covid-19 response West Nile,Internal Funding,new_project,NA,yes,73800,"WASH,Risk communications,Logistics","none, none, none, none, procure_wash_infrastructure support_community_engagement_meetings, none, none, supplies personnel, procure_ppe procure_sanitizer procure_soap procure_watertanks other, none",NA,,westnile,arua
ID-35,ZOA,Amudat Education Covid-19 Response,Internal Funding,new_project,NA,yes,6784,Risk communications,"none, none, none, none, none, none, none, supplies, none, none",NA,,karamoja,amudat
ID-36,Malteser International,"Emergency Response project for the Coronavirus disease 2019 (COVID-19) pandemic in South West, Mid-West and Kampala Regions in Uganda.",germany,new_project,NA,yes,57592,"Coordination,Infection prevention,Surveillance,WASH,Mental health,Risk communications,Logistics,Human resources","tech_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc, rapid_risk_capacity_assessment_district distribute_tools orient_workers_surveillance contact_tracing_followup, none, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, none, other, supplies personnel, procure_ppe procure_waste_management_supplies fuel procure_sanitizer procure_soap procure_boots, recruitment_costs",NA,"CAFOMI (Care and Assistance for Forced Migrants), CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI, CAFOMI","bunyoro kampala kigezi toro, bunyoro kampala kigezi toro","kikuube, kampala, kanungu kisoro, ntoroko, kikuube, kanungu"
ID-37,Malteser International,Emergency Medical Services Project,germany,ongoing_project,yes,NA,486011,"Case management,Logistics","none, none, none, orientation_workers_rrh activate_ambulance, none, none, none,  procure_ppe, none",Setting up of a COVID-19 Isolation Unit at Lubaga hospital.,"AAPU, Lubaga Hospital and Naguru hospital, Lubaga Hospital, Naguru Hospital and Arua Regional Refferral","kampala, kampala westnile, kampala","kampala, kampala, arua"
ID-38,Malteser International,Integrated Project for the improvement of Food & Nutrition Security and the provision of safe drinking water in underserved communities in the peri-urban areas of Wau and for the South Sudanese Refugees and their host communities in Northern Uganda.,germany,ongoing_project,yes,NA,45000,"WASH,Logistics,Human resources","none, none, none, none, procure_wash_infrastructure support_community_engagement_meetings, none, none,  procure_soap, recruitment_costs",NA,,"westnile, westnile","yumbe arua madiokollo, arua madiokollo"
ID-39,Malteser International,AA Regional Emergency Response Project,germany,ongoing_project,yes,NA,83545,"WASH,Logistics,Human resources","none, none, none, none, procure_wash_infrastructure hygiene_promotion_sensitization, none, none,  procure_sanitizer procure_soap sanitation_facilities, recruitment_costs",NA,,westnile,arua madiokollo
ID-40,Finnish Mission Uganda / Fida International,Health Component,Ministry of Foreign Affairs - Finland,ongoing_project,yes,NA,30000,"Coordination,Infection prevention,Surveillance,WASH,Mental health,Risk communications,Logistics","moh_support_lg other, adapted_ipc_standard_operating_procedures other, other, none, procure_wash_infrastructure, none, mhpss_counsellors, cash, procure_ppe, none",Education In Emergencies,"Pentecostal Churches of Uganda together with us, Pentecostal Churches of Uganda with us, Pentecostal Churches of Uganda with us, Pentecostal churches of Uganda, Pentecostal churches of Uganda with us","bunyoro kampala teso westnile, bunyoro kampala teso westnile, bunyoro teso westnile, bunyoro teso, bunyoro kampala teso","masindi kakumiro hoima, kampala, amuria, yumbe nebbi, masindi hoima, yumbe, masindi buliisa kakumiro kiryandongo hoima, masindi kiryandongo hoima, soroti amuria"
ID-41,Finnish Mission Uganda / Fida International,Education Component,Ministry of Foreign Affairs FinLand,ongoing_project,yes,NA,15000,"WASH,Mental health","none, none, none, none, other, none, mhpss_counsellors,  none, none",Provision of Learning Materials to vulnerable children,,"westnile, westnile","yumbe, yumbe"
ID-42,World Vision Uganda,COVID19 Actvities,Internal Funding,ongoing_project,yes,NA,15000,"WASH,Mental health,Risk communications,Logistics,Human resources","none, none, none, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials other, supplies personnel, procure_ppe procure_waste_management_supplies procure_thermometers provision_mattresses_bedding purchase_megaphones_vht procure_sanitizer handwashing_facility procure_soap procure_boots wash_costs, call_centre_staff",NA,,"acholi bukedi bunyoro busoga elgon kampala karamoja lango northbuganda southbuganda teso toro westnile, acholi bukedi bunyoro busoga elgon kampala karamoja lango northbuganda southbuganda teso toro westnile, acholi bukedi bunyoro busoga elgon kampala karamoja lango northbuganda southbuganda teso toro, kampala","omoro gulu agago pader, busia tororo butaleja, kagadi kibaale buliisa hoima, bugiri mayuge, mbale, kampala, kaabong kotido abim karenga, kole oyam, buikwe kiboga, mpigi rakai, soroti amuria kapelebyong, kamwenge bundibugyo, yumbe adjumani arua moyo obongi, omoro agago pader, busia butaleja, mpigi butambala rakai, omoro gulu agago pader, kagadi kibaale kikuube buliisa hoima, kibaale kikuube buliisa hoima, kole otuke"
ID-43,Doctors with Africa CUAMM,COVID-19 activities only,"Italian Governemnt, Fondacion Assitance Internatinal (FAI), Italian Bank Foundations",ongoing_project,yes,NA,35561,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics,Human resources","national_task_force_district_task_force information_product orientation_surge tech_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, distribute_tools orient_workers_surveillance risk_centre_identification contact_tracing_followup, orientation_workers_rrh assess_readiness activate_ambulance medicine_home_isolation, procure_wash_infrastructure, strengthen_district_data, none, cash supplies personnel, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers procure_medical_equipment purchase_megaphones_vht print_statutory_instrument procure_sanitizer procure_soap chlorination procure_boots, lab_field_sample_central",NA,,karamoja lango,"moroto nakapiripirit napak amudat nabilatuk, oyam"
ID-44,Doctors with Africa CUAMM,COVID-19 Activities only,"Italian Government, Fondazione Assitance International (FAI)",ongoing_project,yes,NA,1063,"Case management,ICT innovations","none, none, none, orientation_workers_rrh assess_readiness activate_ambulance medicine_home_isolation, none, strengthen_district_data, none,  none, none",NA,,karamoja,moroto nakapiripirit napak amudat nabilatuk
ID-45,LifeNet International,Medical Training & Quality of Care Improvement,The Hilton Foundation,ongoing_project,yes,NA,1.00E+05,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics","information_product ehd_districts_wash other, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission surveillance_hospitals, orient_workers_surveillance, assess_readiness medicine_home_isolation, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, other, none, supplies personnel, procure_ppe procure_thermometers offloading_transport procure_sanitizer procure_soap procure_watertanks wash_costs, none",NA,,"busoga kampala northbuganda southbuganda, busoga kampala northbuganda southbuganda","iganga jinja mayuge, kampala, buikwe luwero nakasongola mubende mukono nakaseke mityana, masaka wakiso bukomansimbi mpigi lwengo ssembabule butambala rakai, iganga jinja mayuge, masaka wakiso bukomansimbi lwengo ssembabule butambala rakai, masaka wakiso bukomansimbi lwengo butambala rakai"
ID-46,Broederlijk Delen,COVID-19 activities only,Internal Funding,ongoing_project,yes,NA,5000,Risk communications,"none, none, none, none, none, none, none, cash, none, none",NA,"FAPAD in Lira and Amolatar, KRC in Fort Portal / Kabarole",lango toro,"amolatar lira, kabarole"
ID-47,Danish Refugee Council (DRC),UNHCR protection programming (refugee support),unhcr,ongoing_project,yes,NA,8.00E+05,"Coordination,Case management,WASH,ICT innovations,Mental health,Risk communications,Logistics,Human resources","other, none, none, accomodation_food_quarantine_hotels food_assistance_quarantine_other medicine_home_isolation, hygiene_promotion_sensitization support_community_engagement_meetings, budget_tracking_activity_reporting e_meetings emergency_hotline, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies personnel, procure_ppe, compensation_responders",NA,"HADS in Lobule, HADS in Lobule","westnile, westnile","arua koboko, arua koboko"
ID-48,Danish Refugee Council (DRC),NURI,denmark,ongoing_project,yes,NA,3.00E+05,"Coordination,Risk communications,Logistics,Human resources","tech_support_lg ehd_districts_wash, none, none, none, none, none, none, cash supplies personnel, procure_ppe, compensation_responders",Cash for work for communities (small group of 5) and fuel support to district task force,,"acholi westnile, acholi westnile, westnile","lamwo kitgum agago, pakwach zombo adjumani arua nebbi koboko moyo madiokollo, lamwo kitgum agago, pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo"
ID-49,Danish Refugee Council (DRC),DANIDA protection programming (refugee support),denmark,ongoing_project,yes,NA,20000,"WASH,Risk communications,Human resources","none, none, none, none, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, none, supplies personnel, none, compensation_responders",NA,,westnile,arua
ID-50,Danish Refugee Council (DRC),EUTF Support Programme to the Refugee Settlements and Host Communities in Northern Uganda (SPRS-NU),eu,ongoing_project,yes,NA,7.00E+05,"Risk communications,Logistics,Human resources","none, none, none, none, none, none, none, cash supplies personnel, procure_ppe, compensation_responders","Direct materials support to district task force (fuel, transport",CEFORD and Save the children,westnile,yumbe adjumani
ID-51,Danish Refugee Council (DRC),ECHO cash programming (refugee support),eu,ongoing_project,yes,NA,3.00E+06,"Risk communications,Logistics,Human resources","none, none, none, none, none, none, none, cash supplies personnel, procure_ppe, compensation_responders",Unconditional cash support to cover basic non food needs to most vulnerable new arrivals refugees,,ankole toro,"isingiro, kyegegwa"
ID-52,Samaritan's Purse,COVID-19 activities only,Internal Funding,ongoing_project,yes,NA,7000,Logistics,"none, none, none, none, none, none, none,  procure_ppe, none",NA,,kampala,kampala
ID-53,Samaritan's Purse,COVID-19 Response,"us, Internal Funding",new_project,NA,no,1500000,"Infection prevention,WASH,Risk communications,Logistics","none, procure_ipc, none, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, none, supplies personnel, procure_ppe handwashing_facility procure_soap wash_isolation_quarantine_centres sanitation_facilities mobile_toilet_isolation, none",NA,,kampala,kampala
ID-54,Womena Uganda,Menstrual health intervention in relation to Gender-based violence (GBV),eu denmark,new_project,NA,no,550000,"Coordination,Case management,WASH,Risk communications,Logistics,Human resources","information_product orientation_surge tech_support_lg ehd_districts_wash, none, none, other, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees other, none, none, supplies, procure_waste_management_supplies procure_sanitizer procure_soap, compensation_responders",NA,,acholi bunyoro kampala westnile,"gulu, hoima, kampala, adjumani"
ID-55,Jesuit Regufee Service (JRS),Kampala Project,us  Spain,ongoing_project,yes,NA,70000,"Coordination,Case management,Mental health,Risk communications,Logistics","other, none, none, other, none, none, other, personnel, procure_waste_management_supplies procure_soap, none",NA,,kampala,kampala
ID-56,Jesuit Regufee Service (JRS),Adjumani Project,ireland  Spain,ongoing_project,yes,NA,80000,"Coordination,Mental health","tech_support_lg, none, none, none, none, none, other,  none, none",NA,,westnile,adjumani
ID-57,U-LEARN,COVID-19 Activities Only,uk,ongoing_project,yes,NA,550,"Surveillance,ICT innovations,Risk communications","none, none, rapid_risk_capacity_assessment_district, none, none, budget_tracking_activity_reporting software_dev other, none, personnel, none, none",NA,,kampala,kampala
ID-58,Conservation Through Public Health (CTPH),"Training of park staff, porters, community volunteers and Village  Health  and Conservation Teams in containing COVID-19","International Gorilla Conservation Programme, Arcus Foundation, Solidaridad, Internal Funding",new_project,NA,yes,432259,"Coordination,Infection prevention,Surveillance,WASH,Risk communications,Logistics","tech_support_lg other, ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission other, contact_tracing_followup, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, none, none, supplies personnel, procure_ppe procure_soap, none",No other activities apart from training and provision of posters to prevent COVID spread among people and between people and gorillas,"Uganda Wildlife Authority,  Bwindi Community Hospital, Uganda Wildlife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, Internatinal Gorilla Conservation Programme, Uganda Wildlife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, Uganda Wildlife Authority, Solidaridad, International Gorilla Conservation Programme, Max Planck Institute, Uganda Wildlife Authority",kigezi,rubanda kanungu kisoro
ID-59,Conservation Through Public Health (CTPH),"Preventing COVID-19 among people and between people and gorillas at Bwindi Impenetrable National Park, SW Uganda","International Gorilla Conservation Programme, Arcus Foundation, Solidaridad",new_project,NA,yes,405000,"Coordination,Infection prevention,Surveillance,WASH,Risk communications,Logistics","tech_support_lg, ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, contact_tracing_followup, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, none, none, supplies, procure_ppe, none",Advocacy about the risk of SARS-COV2 leading to the COVID-19 disease spread between people and  animals,"CTPH working with Uganda Wildlife Authority, Bwindi Community Hospital, CTPH working with Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme, CTPH working with Solidaridad, Uganda Wildlife Authority, CTPH working with Uganda Wildife Authority, Bwindi Community Hospital, Mountain Gorilla Veterinary Project, Max Planck Institute, International Gorilla Conservation Programme",kigezi,rubanda kanungu kisoro
ID-60,ChildFund International,Community resilience against COVID-19 through WASH and social protection,ChildFund Korea,new_project,NA,no,247741,"Coordination,WASH,ICT innovations,Risk communications,Logistics","ehd_districts_wash, none, none, none, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, e_meetings, none, cash supplies, procure_watertanks, none",NA,Mbale Area Federation of Communities(MAFOC); Busia Area Communities Federation(BUACOFE),"bukedi elgon, bukedi elgon","busia, bududa manafwa mbale, busia, busia budaka butaleja kibuku, sironko mbale bulambuli"
ID-61,ChildFund International,COVID-19 Activities only,Sponsors from multiple countries,ongoing_project,yes,NA,680000,"Coordination,WASH,ICT innovations,Mental health,Risk communications,Logistics","national_task_force_district_task_force information_product, none, none, none, support_engagements_with_authorities procure_wash_infrastructure support_community_engagement_meetings, e_meetings, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_waste_management_supplies wash_costs, none",NA,Acholi Child and Family Programme (ACFP) Masindi Child Development Federation (MACDEF) Lango Child and Community Development Federation (LACCODEF) Community Efforts for Child Empowerment (CECE) Kampala Area Federation of Communities (KAFOC) Jinja Area Communities Federation (JIACOFE) Partners for Children Worldwide (PfCW) Mbale Area Federation of Communities (MAFOC) Busia Area Communities Federation (BUACOFE,"acholi bukedi bunyoro busoga elgon kampala lango northbuganda southbuganda teso, acholi bukedi bunyoro busoga elgon kampala lango northbuganda southbuganda teso, acholi bukedi bunyoro busoga elgon lango northbuganda southbuganda teso","kitgum gulu agago, busia budaka butaleja kibuku, masindi kiryandongo, kamuli jinja mayuge, sironko mbale bulambuli, kampala, kole dokolo kwania, kyankwanzi, wakiso, kaberamaido soroti serere amuria katakwi kapelebyong, kitgum gulu agago"
