"District","Coordination_n","PreventionControl_n","Surveillance_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","CaseManagement_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources"
"IBANDA",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"ISINGIRO",7,7,5,9,5,5,6,7,6,5,"ALIGHT ( Formerly American Refugee Committee) | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | United States Agency for International Development | World Health Organisation","Medical Teams International | UNICEF | United Nations High Commissioner For Refugees | United States Agency for International Development | World Health Organisation","AWO International | Danish Refugee Council (DRC) | Farm Radio International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | Tutapona | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Farm Radio International | Tutapona | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | AWO International | Farm Radio International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees","Danish Refugee Council (DRC) | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","ALIGHT ( Formerly American Refugee Committee) | Danish Refugee Council (DRC) | UNICEF | United Nations High Commissioner For Refugees | United States Agency for International Development | World Health Organisation"
"KAZO",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"KIRUHURA",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"MBARARA",2,3,4,4,1,3,1,3,2,3,"Medical Teams International | World Health Organisation","Medical Teams International | United States Agency for International Development | World Health Organisation","Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation","Medical Teams International | United States Agency for International Development | World Health Organisation","Farm Radio International | Medical Teams International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"MITOOMA",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"NTUNGAMO",2,3,3,3,2,3,2,3,3,3,"UNICEF | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","UNICEF | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation"
"RUBIRIZI",1,2,3,3,1,3,1,3,3,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation"
"RWAMPARA",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"SHEEMA",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"BUDAKA",2,2,3,4,2,4,2,4,1,2,"ChildFund International | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"BUSIA",3,2,5,5,3,4,3,7,5,2,"ChildFund International | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","United States Agency for International Development | World Health Organisation","Infectious Diseases Institute | Makerere University | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | World Vision Uganda","ChildFund International | Infectious Diseases Institute | Makerere University | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Infectious Diseases Institute | Makerere University | UNICEF | World Health Organisation | World Vision Uganda"
"BUTALEJA",2,2,3,5,3,4,3,5,2,2,"ChildFund International | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | World Vision Uganda","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda"
"BUTEBO",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"KIBUKU",2,2,3,4,2,4,2,4,1,2,"ChildFund International | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"PALLISA",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"TORORO",4,4,6,6,2,3,3,7,3,3,"Plan International Uganda | Tackling Deadly Diseases in Africa Programme (TDDAP) | United Nations Population Fund (UNFPA) | World Health Organisation","Plan International Uganda | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Infectious Diseases Institute | Makerere University | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda | World Vision Uganda","Infectious Diseases Institute | Makerere University | Plan International Uganda | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation"
"BULIISA",1,3,2,4,3,2,2,3,2,3,"World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","Ministry of Security | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","Finnish Mission Uganda / Fida International | World Health Organisation | World Vision Uganda","Farm Radio International | World Health Organisation","Farm Radio International | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda"
"HOIMA",7,7,4,9,5,3,6,7,4,6,"Finnish Mission Uganda / Fida International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation","Finnish Mission Uganda / Fida International | Infectious Diseases Institute | Makerere University | Medical Teams International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Finnish Mission Uganda / Fida International | Medical Teams International | Ministry of Security | World Health Organisation","Infectious Diseases Institute | Makerere University | Medical Teams International | UNICEF | Womena Uganda | World Health Organisation","Farm Radio International | Finnish Mission Uganda / Fida International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","Finnish Mission Uganda / Fida International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | Finnish Mission Uganda / Fida International | Norwegian Refugee Council (NRC) | UNICEF | Womena Uganda | World Vision Uganda","Finnish Mission Uganda / Fida International | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation | World Vision Uganda","UNICEF | Womena Uganda | World Health Organisation | World Vision Uganda"
"KAGADI",3,4,3,5,2,2,3,4,2,4,"Clinton Health Access Initiative | International Rescue Committee (IRC) | World Health Organisation","Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | World Health Organisation","International Rescue Committee (IRC) | Ministry of Security | World Health Organisation","Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | World Health Organisation","Farm Radio International | International Rescue Committee (IRC) | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | World Health Organisation","Farm Radio International | International Rescue Committee (IRC) | World Vision Uganda","International Rescue Committee (IRC) | UNICEF | World Health Organisation | World Vision Uganda","International Rescue Committee (IRC) | World Health Organisation"
"KAKUMIRO",3,3,2,3,2,2,1,2,1,3,"Clinton Health Access Initiative | Finnish Mission Uganda / Fida International | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","Ministry of Security | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","Finnish Mission Uganda / Fida International | World Health Organisation","Farm Radio International | World Health Organisation","Farm Radio International","UNICEF | World Health Organisation","World Health Organisation"
"KIBAALE",2,3,2,4,2,2,2,3,2,3,"Clinton Health Access Initiative | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","Ministry of Security | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | World Health Organisation","Farm Radio International | World Vision Uganda","UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda"
"KIKUUBE",10,12,7,16,9,5,11,12,7,8,"Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Malteser International | Medical Teams International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Infectious Diseases Institute | Makerere University | Malteser International | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Cordaid | Malteser International | Medical Teams International | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Infectious Diseases Institute | Makerere University | Medical Teams International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | Humanity & Inclusion | Lutheran World Federation | Malteser International | Medical Teams International | Norwegian Refugee Council (NRC) | Oxfam | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Humanity & Inclusion | Malteser International | Save the Children International | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Cordaid | Farm Radio International | Lutheran World Federation | Malteser International | Norwegian Refugee Council (NRC) | Oxfam | UNICEF | United Nations High Commissioner For Refugees","Action Against Hunger | Care and Assistance For Forced Migrants (CAFOMI) | CARE International | Humanity & Inclusion | Lutheran World Federation | Malteser International | Norwegian Refugee Council (NRC) | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Lutheran World Federation | Malteser International | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation | World Vision Uganda"
"KIRYANDONGO",9,8,4,12,8,4,7,9,3,6,"Action Against Hunger | AVSI FOUNDATION | ChildFund International | Dan Church Aid (DCA) | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | Infectious Diseases Institute | Makerere University | The Water Trust | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | Ministry of Security | United Nations High Commissioner For Refugees | World Health Organisation","AVSI FOUNDATION | Infectious Diseases Institute | Makerere University | UNICEF | United Nations High Commissioner For Refugees | World Health Organisation","AVSI FOUNDATION | ChildFund International | Dan Church Aid (DCA) | Farm Radio International | Finnish Mission Uganda / Fida International | Save the Children International | Street Child of Uganda | The Water Trust | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Finnish Mission Uganda / Fida International | Save the Children International | Street Child of Uganda | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","AVSI FOUNDATION | ChildFund International | Farm Radio International | Street Child of Uganda | The Water Trust | UNICEF | United Nations High Commissioner For Refugees","Action Against Hunger | AVSI FOUNDATION | ChildFund International | Dan Church Aid (DCA) | The Water Trust | UNICEF | United Nations High Commissioner For Refugees | United Nations Population Fund (UNFPA) | World Health Organisation","UNICEF | United Nations High Commissioner For Refugees | World Health Organisation"
"MASINDI",3,5,3,6,3,3,4,5,1,3,"ChildFund International | Finnish Mission Uganda / Fida International | World Health Organisation","Finnish Mission Uganda / Fida International | Infectious Diseases Institute | Makerere University | The Water Trust | World Health Organisation","Finnish Mission Uganda / Fida International | Ministry of Security | World Health Organisation","Infectious Diseases Institute | Makerere University | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | The Water Trust | UNICEF | World Health Organisation","ChildFund International | Finnish Mission Uganda / Fida International | World Health Organisation","ChildFund International | Farm Radio International | World Health Organisation","ChildFund International | Farm Radio International | Finnish Mission Uganda / Fida International | The Water Trust","ChildFund International | Finnish Mission Uganda / Fida International | The Water Trust | UNICEF | World Health Organisation","World Health Organisation"
"BUGIRI",1,2,3,4,2,3,2,4,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | World Vision Uganda","UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","World Health Organisation | World Vision Uganda"
"BUGWERI",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"BUYENDE",2,3,4,4,1,3,2,4,1,3,"Plan International Uganda | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Plan International Uganda","Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"IGANGA",5,4,5,4,1,4,2,4,3,3,"Clinton Health Access Initiative | LifeNet International | Living Goods | Street Business School | World Health Organisation","LifeNet International | Street Business School | United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Ministry of Security | United States Agency for International Development | World Health Organisation","LifeNet International | United States Agency for International Development | World Health Organisation","Farm Radio International | LifeNet International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | LifeNet International | United States Agency for International Development | World Health Organisation","Farm Radio International | LifeNet International","LifeNet International | UNICEF | United States Agency for International Development | World Health Organisation","LifeNet International | UNICEF | World Health Organisation"
"JINJA",6,5,5,6,2,6,4,6,4,5,"ChildFund International | Clinton Health Access Initiative | LifeNet International | Living Goods | Makerere University Walter Reed Project | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation","LifeNet International | Makerere University Walter Reed Project | Ministry of Security | United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Restless Development Uganda | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Makerere University Walter Reed Project | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Makerere University Walter Reed Project","ChildFund International | Clinton Health Access Initiative | LifeNet International | UNICEF | United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | LifeNet International | Restless Development Uganda | World Health Organisation"
"KALIRO",2,2,4,3,1,3,1,3,1,2,"Clinton Health Access Initiative | World Health Organisation","United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"KAMULI",5,3,5,5,2,4,3,5,1,3,"ChildFund International | Clinton Health Access Initiative | Living Goods | Plan International Uganda | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","Clinton Health Access Initiative | Ministry of Security | Plan International Uganda | United States Agency for International Development | World Health Organisation","Plan International Uganda | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Plan International Uganda | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Plan International Uganda","ChildFund International | Plan International Uganda | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"LUUKA",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
